,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
11090,Guatemala,San Juan Cotzal,52,Moderate,1,Good,7,Good,4,Good,52,Moderate,15.4353,-91.0356,North America
11091,Argentina,San Juan,26,Good,1,Good,8,Good,4,Good,26,Good,18.3985,-66.061,South America
11092,Japan,Shiroi,40,Good,1,Good,39,Good,2,Good,40,Good,35.7915,140.0563,Asia
11093,United States,Shively,56,Moderate,2,Good,30,Good,10,Good,56,Moderate,38.197,-85.8136,North America
11094,United States,Sidney,50,Good,1,Good,26,Good,8,Good,50,Good,48.6506,-123.3986,North America
11095,Italy,Siena,40,Good,1,Good,40,Good,2,Good,27,Good,43.3183,11.3314,Europe
11096,United States,Skokie,82,Moderate,2,Good,9,Good,31,Good,82,Moderate,42.036,-87.74,North America
11097,Croatia,Slavonski Brod,56,Moderate,1,Good,30,Good,1,Good,56,Moderate,45.1667,18.0167,Europe
11098,Bulgaria,Sliven,39,Good,1,Good,39,Good,0,Good,24,Good,42.6833,26.3333,Europe
11099,China,Tainan,78,Moderate,2,Good,33,Good,7,Good,78,Moderate,22.9833,120.1833,Asia
11100,Chile,Talcahuano,54,Moderate,2,Good,9,Good,9,Good,54,Moderate,-36.7167,-73.1219,South America
11101,Estonia,Tallinn,96,Moderate,3,Good,25,Good,5,Good,96,Moderate,59.4372,24.7453,Europe
11102,Brazil,Taquari,34,Good,1,Good,13,Good,2,Good,34,Good,-29.8,-51.8597,South America
11103,Mexico,Tecate,62,Moderate,2,Good,19,Good,13,Good,62,Moderate,32.5728,-116.6267,North America
11104,Belgium,Temse,42,Good,1,Good,24,Good,5,Good,42,Good,51.1167,4.2,Europe
11105,France,Issoudun,44,Good,1,Good,20,Good,3,Good,44,Good,46.9481,1.9933,Europe
11106,Brazil,Jarinu,90,Moderate,2,Good,8,Good,10,Good,90,Moderate,-23.1014,-46.7283,South America
11107,Germany,Nordhorn,32,Good,1,Good,32,Good,2,Good,27,Good,52.4319,7.0678,Europe
11108,United States,Normal,54,Moderate,2,Good,16,Good,12,Good,54,Moderate,40.5217,-88.9884,North America
11109,United States,North Royalton,48,Good,1,Good,31,Good,8,Good,48,Good,41.3138,-81.745,North America
